Date,Customer Savings Interest Rate,Daily Savings,Daily Spending
2015-01-01,4.110365771439473,0.0,5000.0
2015-01-02,4.410980233488682,4.696060527002348,5011.7401513175055
2015-01-03,3.705345448610372,9.392121054004695,5023.480302635012
2015-01-04,3.804894258914465,14.088181581007044,5035.220453952517
2015-01-05,4.199414522059679,18.78424210800939,5046.960605270024
2015-01-06,3.8186189329308706,23.48030263501174,5058.700756587529
2015-01-07,3.765633818622675,28.176363162014088,5070.440907905036
2015-01-08,4.015442816731848,32.872423689016436,5082.181059222541
2015-01-09,3.477000685891584,37.56848421601878,5093.921210540047
2015-01-10,4.565247229907345,42.26454474302113,5105.661361857553
2015-01-11,3.4086466783852365,46.96060527002348,5117.401513175058
2015-01-12,4.538437909554525,51.65666579702583,5129.141664492565
2015-01-13,3.790662930811533,56.352726324028175,5140.88181581007
2015-01-14,4.506758546963206,61.04878685103052,5152.621967127577
2015-01-15,3.615833052785454,65.74484737803287,5164.362118445082
2015-01-16,4.107313130105155,70.44090790503522,5176.102269762588
2015-01-17,4.350519944611774,75.13696843203756,5187.842421080094
2015-01-18,4.381940419985394,79.83302895903991,5199.5825723975995
2015-01-19,4.47238031688659,84.52908948604227,5211.322723715106
2015-01-20,3.0606721969896915,89.22515001304461,5223.062875032611
2015-01-21,3.7027791192121886,93.92121054004696,5234.803026350118
2015-01-22,3.264104474012043,98.61727106704932,5246.543177667623
2015-01-23,4.33474318251054,103.31333159405166,5258.283328985129
2015-01-24,3.4565755156277334,108.00939212105399,5270.023480302635
2015-01-25,4.572360431554208,112.70545264805635,5281.763631620141
2015-01-26,3.8871199044277525,117.4015131750587,5293.503782937647
2015-01-27,3.5796325420937216,122.09757370206104,5305.243934255152
2015-01-28,3.942489141569766,126.79363422906339,5316.984085572659
2015-01-29,4.440499673278099,131.48969475606575,5328.724236890164
2015-01-30,4.62188398622629,136.1857552830681,5340.46438820767
2015-01-31,4.815286559642504,140.88181581007044,5352.204539525176
2015-02-01,4.0846713570703495,145.57787633707278,5363.944690842682
2015-02-02,3.6123602426652703,150.27393686407513,5375.684842160188
2015-02-03,4.496576313331678,154.96999739107747,5387.4249934776935
2015-02-04,4.138006711581342,159.66605791807982,5399.1651447952
2015-02-05,3.8659164185059796,164.36211844508216,5410.905296112705
2015-02-06,4.088063606555443,169.05817897208453,5422.645447430212
2015-02-07,4.222950946747858,173.75423949908688,5434.385598747717
2015-02-08,3.94749365270863,178.45030002608922,5446.125750065223
2015-02-09,3.977847208002485,183.14636055309157,5457.865901382729
2015-02-10,3.9771103270566397,187.8424210800939,5469.606052700235
2015-02-11,3.6973070178221197,192.53848160709626,5481.346204017741
2015-02-12,3.9451487655482635,197.23454213409863,5493.0863553352465
2015-02-13,4.347167976074322,201.93060266110098,5504.826506652753
2015-02-14,2.996325466190438,206.62666318810332,5516.566657970258
2015-02-15,4.640978043482915,211.32272371510564,5528.306809287764
2015-02-16,3.918061383553979,216.01878424210798,5540.04696060527
2015-02-17,3.8342203383300677,220.71484476911033,5551.787111922776
2015-02-18,4.330157302233964,225.4109052961127,5563.527263240282
2015-02-19,4.274860556679682,230.10696582311505,5575.267414557788
2015-02-20,4.318207301621897,234.8030263501174,5587.007565875294
2015-02-21,3.9687071327287518,239.49908687711974,5598.747717192799
2015-02-22,3.6827394539788747,244.19514740412208,5610.487868510305
2015-02-23,4.218287489064551,248.89120793112443,5622.228019827811
2015-02-24,4.825433867585731,253.58726845812677,5633.968171145317
2015-02-25,3.6900469600984023,258.2833289851291,5645.708322462823
2015-02-26,4.05491300727511,262.9793895121315,5657.448473780329
2015-02-27,3.2198985152599735,267.6754500391338,5669.188625097835
2015-02-28,3.870200500515568,272.3715105661362,5680.9287764153405
2015-03-01,3.480244787357989,277.0675710931385,5692.668927732846
2015-03-02,4.127434670303742,281.76363162014087,5704.409079050352
2015-03-03,3.8606932983095,286.4596921471432,5716.149230367858
2015-03-04,3.618031275077582,291.15575267414556,5727.889381685364
2015-03-05,4.040588809936831,295.8518132011479,5739.62953300287
2015-03-06,4.729541180396093,300.54787372815025,5751.369684320376
2015-03-07,4.700024506525324,305.2439342551526,5763.109835637882
2015-03-08,3.893942148395411,309.93999478215494,5774.849986955387
2015-03-09,5.207317280223487,314.6360553091573,5786.5901382728935
2015-03-10,4.1746330961537685,319.33211583615963,5798.330289590399
2015-03-11,4.072710965231302,324.028176363162,5810.070440907905
2015-03-12,3.621778325971553,328.7242368901643,5821.810592225411
2015-03-13,3.9160715027072523,333.4202974171667,5833.550743542917
2015-03-14,4.347181103985397,338.11635794416907,5845.290894860423
2015-03-15,3.510833809394778,342.8124184711714,5857.031046177928
2015-03-16,2.676655802656014,347.50847899817376,5868.7711974954345
2015-03-17,3.5165092589144935,352.2045395251761,5880.51134881294
2015-03-18,4.298437052592051,356.90060005217845,5892.251500130446
2015-03-19,3.5303351819162483,361.5966605791808,5903.991651447952
2015-03-20,3.9985651297357596,366.29272110618314,5915.731802765458
2015-03-21,3.995357175479501,370.9887816331855,5927.471954082964
2015-03-22,3.837345482139342,375.6848421601878,5939.212105400469
2015-03-23,4.382649831803805,380.3809026871902,5950.952256717976
2015-03-24,4.357765138108168,385.0769632141925,5962.692408035481
2015-03-25,4.223014983459433,389.7730237411949,5974.4325593529875
2015-03-26,4.458489384519042,394.46908426819726,5986.172710670493
2015-03-27,3.8290315411543996,399.1651447951996,5997.912861987999
2015-03-28,4.025711827061373,403.86120532220195,6009.653013305505
2015-03-29,3.5657768847744165,408.55726584920427,6021.39316462301
2015-03-30,4.4788653935925025,413.25332637620664,6033.133315940517
2015-03-31,3.6385449481887893,417.9493869032089,6044.873467258022
2015-04-01,3.5938421705775756,422.6454474302113,6056.613618575529
2015-04-02,4.59081659855595,427.34150795721365,6068.353769893034
2015-04-03,3.5606010857761445,432.03756848421597,6080.09392121054
2015-04-04,3.9852873161779754,436.73362901121834,6091.834072528046
2015-04-05,4.140515731638332,441.42968953822066,6103.574223845551
2015-04-06,4.071785415032111,446.12575006522303,6115.314375163058
2015-04-07,4.554942874415664,450.8218105922254,6127.054526480563
2015-04-08,3.565936198922145,455.5178711192277,6138.79467779807
2015-04-09,4.725961023609059,460.2139316462301,6150.534829115575
2015-04-10,3.627970830704697,464.9099921732324,6162.2749804330815
2015-04-11,5.447575076630715,469.6060527002348,6174.015131750587
2015-04-12,4.127616322456203,474.3021132272371,6185.7552830680925
2015-04-13,3.932766719106501,478.9981737542395,6197.495434385599
2015-04-14,4.39625674501559,483.69423428124185,6209.235585703104
2015-04-15,3.5708085820465003,488.39029480824416,6220.975737020611
2015-04-16,5.1732200483133814,493.08635533524654,6232.715888338116
2015-04-17,4.168026243907066,497.78241586224885,6244.456039655623
2015-04-18,4.1356858312745315,502.4784763892512,6256.196190973128
2015-04-19,3.250972477977852,507.17453691625354,6267.936342290634
2015-04-20,4.038691099615587,511.8705974432559,6279.67649360814
2015-04-21,3.7211435261116126,516.5666579702582,6291.416644925645
2015-04-22,3.736572069583003,521.2627184972606,6303.156796243152
2015-04-23,4.218384564086222,525.958779024263,6314.896947560657
